province;red;green;blue;x;x
1;128;034;064;Nexoria0001;x
2;000;036;128;Nexoria0002;x
3;128;038;192;Nexoria0003;x
4;000;040;255;Nexoria0004;x
5;128;042;000;Nexoria0005;x
6;000;044;064;Nexoria0006;x
7;129;046;128;Nexoria0007;x
8;001;048;192;Nexoria0008;x
9;129;050;255;Nexoria0009;x
10;001;052;000;Nexoria0010;x
11;129;054;064;Nexoria0011;x
12;001;056;128;Nexoria0012;x
13;129;058;192;Nexoria0013;x
14;002;060;255;Nexoria0014;x
15;130;062;000;Nexoria0015;x
16;002;064;064;Nexoria0016;x
17;130;066;128;Nexoria0017;x
18;002;068;192;Nexoria0018;x
19;130;070;255;Nexoria0019;x
20;002;072;000;Nexoria0020;x
21;131;074;064;Nexoria0021;x
22;003;076;128;Nexoria0022;x
23;131;078;192;Nexoria0023;x
24;003;080;255;Nexoria0024;x
25;131;082;000;Nexoria0025;x
26;003;084;064;Nexoria0026;x
27;131;086;128;Nexoria0027;x
28;004;088;192;Nexoria0028;x
29;132;090;255;Nexoria0029;x
30;004;092;000;Nexoria0030;x
31;132;094;064;Nexoria0031;x
32;004;096;128;Nexoria0032;x
33;132;098;192;Nexoria0033;x
34;004;100;255;Nexoria0034;x
35;133;102;000;Nexoria0035;x
36;005;104;064;Nexoria0036;x
37;133;106;128;Nexoria0037;x
38;005;108;192;Nexoria0038;x
39;133;110;255;Nexoria0039;x
40;005;112;000;Nexoria0040;x
41;133;114;064;Nexoria0041;x
42;006;116;128;Nexoria0042;x
43;134;118;192;Nexoria0043;x
44;006;120;255;Nexoria0044;x
45;134;122;000;Nexoria0045;x
46;006;124;064;Nexoria0046;x
47;134;126;128;Nexoria0047;x
48;006;128;192;Nexoria0048;x
49;135;130;255;Nexoria0049;x
50;007;132;000;Nexoria0050;x
51;135;134;064;Nexoria0051;x
52;007;136;128;Nexoria0052;x
53;135;138;192;Nexoria0053;x
54;007;140;255;Nexoria0054;x
55;135;142;000;Nexoria0055;x
56;008;144;064;Nexoria0056;x
57;136;146;128;Nexoria0057;x
58;008;148;192;Nexoria0058;x
59;136;150;255;Nexoria0059;x
60;008;152;000;Nexoria0060;x
61;136;154;064;Nexoria0061;x
62;008;156;128;Nexoria0062;x
63;137;158;192;Nexoria0063;x
64;009;032;255;Nexoria0064;x
65;137;034;000;Nexoria0065;x
66;009;036;064;Nexoria0066;x
67;137;038;128;Nexoria0067;x
68;009;040;192;Nexoria0068;x
69;137;042;255;Nexoria0069;x
70;010;044;000;Nexoria0070;x
71;138;046;064;Nexoria0071;x
72;010;048;128;Nexoria0072;x
73;138;050;192;Nexoria0073;x
